category_id,category_name
1,Product Quality
2,Service Quality
3,Delivery
4,Website Experience
5,Customer Support
6,Technical Support
7,Billing Issues
8,Return and Refund Process
9,Shipping Experience
10,Mobile App Usability
11,Account Management
12,Product Availability
13,Pricing and Discounts
14,Product Features
15,Product Packaging
16,Order Tracking
17,Loyalty Program
18,Payment Methods
19,Checkout Process
20,Social Media Interaction
21,Email Support
22,Phone Support
23,Live Chat Support
24,In-Store Experience
25,Online Store Navigation
26,Warranty and Repairs
27,Security and Privacy
28,Product Recommendations
29,Installation Assistance
30,Order Confirmation Process
31,Subscription Services
32,Gift Cards and Vouchers
33,Product Reviews
34,Technical Documentation
35,User Manuals
36,Complaint Handling
37,Customer Surveys
38,Brand Perception
39,Marketing Emails
40,Advertising Campaigns
41,Corporate Social Responsibility
42,Environmental Impact
43,Community Involvement
44,Employee Friendliness
45,Store Cleanliness
46,Queue Management
47,Accessibility Features
48,Return Policy
49,After-Sales Service
50,Promotional Offers
51,Referral Program
52,Appointment Scheduling
53,Product Customization
54,Size and Fit
55,Product Range
56,Store Ambiance
57,Product Durability
58,Online Payment Security
59,Store Location Convenience
60,Gift Wrapping
61,Event Hosting
62,Store Hours
63,Inventory Management
64,Stock Updates
65,Online Chatbot
66,Customer Testimonials
67,Order Confirmation Speed
68,Loyalty Rewards Redemption
69,Promotional Events
70,Holiday Sales
71,Corporate Communication
72,Online FAQ
73,Installation Guides
74,Product Setup
75,Newsletter Quality
76,Free Trials
77,Demo Availability
78,Product Testing
79,Exclusive Member Discounts
80,Online Return Process
81,Store Return Process
82,Technical Problem Resolution
83,International Shipping
84,Shipping Costs
85,Delivery Time
86,Order Status Updates
87,Customer Service Knowledge
88,Sales Staff Assistance
89,Product Training
90,Assembly Instructions
91,Home Delivery Service
92,Contact Us Form
93,Feedback Collection
94,Suggestion Box
95,Free Samples
96,Employee Training
97,Return Labels
98,Warranty Registration
99,Product Recall
100,Brand Loyalty
